True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.211232162,28.66778946,22.6122303,-0.2845559,20.51020048
-0.196428577,28.25927925,22.70834923,-0.19259301,22.81674049
-0.214650738,28.21121979,22.15566063,-0.1838272,23.02522964
-0.206132878,28.21121979,22.39595985,-0.17403956,23.301352
-0.172860841,27.80270958,22.99670982,-0.18291274,22.7172407
-0.188195042,28.09107018,22.80447006,-0.17428814,23.19512942
-0.143612306,27.27404976,23.35716057,-0.16541459,22.7625245
-0.141704023,26.7934494,22.99670982,-0.1197184,23.58577964
-0.130081285,26.60120964,23.14089012,-0.11169621,23.62995446
-0.13063064,26.67329979,23.18894958,-0.103421316,23.91471164
-0.149592039,26.50509071,22.54014015,-0.11707628,23.40197335
-0.12929478,26.57718086,23.14089012,-0.108985886,23.68064286
-0.060952379,25.23150063,23.69358063,-0.10107146,22.6813156
-0.060434374,25.44776917,23.90984917,-0.062356196,23.86094365
-0.062088408,25.54389,23.95791054,-0.055315748,24.130911
-0.085027732,26.00045967,23.78969955,-0.048077434,24.7504235
-0.117920122,25.88031006,22.82850075,-0.07344904,23.97942676
-0.129612129,25.3997097,22.10759926,-0.065902896,23.72579546
-0.126546134,25.2555294,22.05953979,-0.058829032,23.76977162
-0.135367019,25.20746994,21.79520988,-0.11798979,22.23324614
-0.059803918,24.51059914,23.04476929,-0.11163606,21.77433285
-0.076246339,24.58268929,22.70834923,-0.10466212,22.00981291
-0.033033022,24.00597,23.21298027,-0.048270695,22.84718497
-0.070281137,23.93387985,22.25177956,-0.04116571,22.9486247
-0.029561626,23.57342911,22.87656021,-0.034659933,22.75637589
0.082120616,23.11685944,25.01523018,-0.002887756,23.05010429
0.112462,23.71760941,26.38493919,0.002425244,23.77512921
0.076771655,24.41448021,26.28882027,0.008488469,24.62172049
0.103206417,23.98193932,26.45702934,0.09790787,26.32996066
0.03951368,23.71760941,24.65477943,0.10139701,26.12250474
0.045643136,23.16492081,24.22224045,0.106867425,25.64049642
0.030832541,23.38118935,24.10209084,0.041816443,24.35890822
0.019467199,23.4532795,23.90984917,0.04885009,24.5989736
-0.02119076,23.81373024,23.3090992,0.05572236,25.14068739
0.014877792,22.6122303,22.94865036,0.03627366,23.43245996
-0.065476246,24.22224045,22.63625908,0.04253775,25.25259859
-0.007383926,22.78043938,22.6122303,0.0484934,23.88514
-0.042060937,22.85252953,21.89133072,-0.005075347,22.73654528
-0.023630498,22.37192917,21.84326935,0.000650262,22.38647734
-0.028692854,22.6122303,21.96342087,0.006477999,22.75871124
-0.069989372,22.66028976,21.0743103,-0.024705507,22.10045531
-0.058252461,22.27581024,20.97818947,-0.018913101,21.85450583
-0.013172365,21.89133072,21.60297012,-0.012521863,21.61721048
-0.008859347,21.69908905,21.50684929,0.002445798,21.75216105
0.022909525,20.97818947,21.45878983,0.007545387,21.13647729
0.118292673,19.70459938,22.03550911,0.013428804,19.96920865
0.156596752,19.48833084,22.54014015,0.13688767,22.15604303
0.135593246,19.84877968,22.54014015,0.14175573,22.66245734
0.038374646,21.29058075,22.10759926,0.1466839,24.41356684
-0.034006418,22.6122303,21.84326935,-0.016878381,22.23057279
-0.088888824,22.70834923,20.68983078,-0.010198131,22.47676684
-0.094360107,22.15566063,20.06505013,-0.003784599,22.07181039
-0.133047174,22.39595985,19.41624069,-0.09970379,20.1629978
-0.182863106,22.99670982,18.79146004,-0.094370686,20.82649506
-0.158061108,22.80447006,19.19997025,-0.08885117,20.77826658
-0.14711937,23.35716057,19.92086983,-0.1702353,19.38094789
-0.135841148,22.99670982,19.87281036,-0.1633407,19.24041142
-0.126687421,23.14089012,20.20923042,-0.15521379,19.54910525
-0.092227979,23.18894958,21.05027962,-0.120259464,20.40025894
-0.07356075,22.54014015,20.88207054,-0.11276218,19.99846407
-0.05815162,23.14089012,21.79520988,-0.105317175,20.70375694
-0.078093358,23.69358063,21.84326935,-0.071452774,22.00060804
-0.054271311,23.90984917,22.6122303,-0.06492102,22.35759734
-0.065195614,23.95791054,22.39595985,-0.057328373,22.58444322
-0.054545408,23.78969955,22.49208069,-0.051793948,22.55753745
-0.002105323,22.82850075,22.78043938,-0.0438454,21.82757566
0.016304382,22.10759926,22.46805,-0.03659889,21.29848499
-0.020697153,22.05953979,21.60297012,0.024742866,22.60535549
0.029768442,21.79520988,22.44401932,0.031936184,22.49126538
-0.05735139,23.04476929,21.72311974,0.03881829,23.93932668
-0.098412653,22.70834923,20.47356033,-0.038416326,21.83597788
-0.095238099,23.21298027,21.00222015,-0.03144795,22.4829797
-0.009719243,22.25177956,22.03550911,-0.025142875,21.69230644
-0.069327707,22.87656021,21.29058075,-0.03063092,22.17582953
-0.13544666,25.01523018,21.62700081,-0.025046472,24.38868702
-0.169398901,26.38493919,21.9153595,-0.01852677,25.8961109
-0.155393058,26.28882027,22.20372009,-0.15865688,22.11791767
-0.168937322,26.45702934,21.98744965,-0.15090331,22.46457514
-0.100389867,24.65477943,22.17968941,-0.14293581,21.1307285
-0.075396849,24.22224045,22.39595985,-0.07684746,22.36082342
-0.046859491,24.10209084,22.97267914,-0.06993167,22.41659099
0.024120654,23.90984917,24.48657036,-0.06291458,22.40557034
0.043298978,23.3090992,24.31835938,0.057596125,24.65161212
0.045026132,22.94865036,23.98193932,0.06254652,24.38400793
0.075371596,22.63625908,24.34239006,0.067909956,24.17348644
0.058448438,22.6122303,23.93387985,0.08295111,24.48793897
0.083424745,21.89133072,23.71760941,0.08954947,23.85168674
0.068206847,21.84326935,23.33312988,0.09651179,23.95140348
0.014223166,21.96342087,22.27581024,0.06927629,23.48496612
-0.018243991,21.0743103,20.68983078,0.07648586,22.68619731
-0.052691826,20.97818947,19.87281036,0.08315936,22.7227216
-0.102335933,21.60297012,19.39221001,-0.078459635,19.90800928
-0.106145179,21.50684929,19.22400093,-0.075199634,19.88954274
-0.184770465,21.45878983,17.49383926,-0.07138259,19.927006
